Type,Index,Description,Subject,Gold,GPT3.5_normal,GPT4_0613_normal
MCQ,22,JEE Adv 2017 Paper 2,chem,C,C,C
MCQ,23,JEE Adv 2017 Paper 2,chem,C,D,C
MCQ(multiple),26,JEE Adv 2017 Paper 2,chem,AB,A,BD
MCQ(multiple),27,JEE Adv 2017 Paper 2,chem,BD,D,AC
MCQ(multiple),28,JEE Adv 2017 Paper 2,chem,AB,BD,D
MCQ(multiple),30,JEE Adv 2017 Paper 2,chem,ABD,ABC,BD
MCQ(multiple),31,JEE Adv 2017 Paper 2,chem,AD,B,None
MCQ,37,JEE Adv 2017 Paper 2,math,C,A,C
MCQ,38,JEE Adv 2017 Paper 2,math,D,B,D
MCQ,39,JEE Adv 2017 Paper 2,math,A,B,None
MCQ,40,JEE Adv 2017 Paper 2,math,D,C,D
MCQ,41,JEE Adv 2017 Paper 2,math,B,A,None
MCQ,42,JEE Adv 2017 Paper 2,math,D,B,D
MCQ,43,JEE Adv 2017 Paper 2,math,B,B,B
MCQ(multiple),46,JEE Adv 2017 Paper 2,math,AC,C,C
MCQ(multiple),47,JEE Adv 2017 Paper 2,math,AD,B,BD
MCQ(multiple),48,JEE Adv 2017 Paper 2,math,BC,B,ACD
MCQ(multiple),49,JEE Adv 2017 Paper 2,math,BC,C,C
MCQ(multiple),50,JEE Adv 2017 Paper 2,math,BD,None,AD
MCQ(multiple),1,JEE Adv 2018 Paper 1,phy,BC,None,BC
MCQ(multiple),2,JEE Adv 2018 Paper 1,phy,AC,D,D
MCQ(multiple),3,JEE Adv 2018 Paper 1,phy,AC,AB,AC
MCQ(multiple),5,JEE Adv 2018 Paper 1,phy,ABD,None,ABC
Numeric,7,JEE Adv 2018 Paper 1,phy,2,1.376,2
Numeric,8,JEE Adv 2018 Paper 1,phy,5,1494.64,1428.57
Numeric,9,JEE Adv 2018 Paper 1,phy,0.75,0.15,0.15
Numeric,13,JEE Adv 2018 Paper 1,phy,130,105,0.0107
MCQ(multiple),19,JEE Adv 2018 Paper 1,chem,BC,ABCD,ABCD
MCQ(multiple),20,JEE Adv 2018 Paper 1,chem,BC,A,ABD
