Type,Index,Description,Subject,Gold,GPT3.5_normal,GPT4_0613_normal
MCQ,22,JEE Adv 2017 Paper 2,chem,C,C,C
MCQ,23,JEE Adv 2017 Paper 2,chem,C,D,C
MCQ(multiple),26,JEE Adv 2017 Paper 2,chem,AB,A,AB
MCQ(multiple),27,JEE Adv 2017 Paper 2,chem,BD,AD,A
MCQ(multiple),28,JEE Adv 2017 Paper 2,chem,AB,AD,AB
MCQ(multiple),30,JEE Adv 2017 Paper 2,chem,ABD,BC,AB
MCQ(multiple),31,JEE Adv 2017 Paper 2,chem,AD,B,D
MCQ,37,JEE Adv 2017 Paper 2,math,C,D,C
MCQ,38,JEE Adv 2017 Paper 2,math,D,C,B
MCQ,39,JEE Adv 2017 Paper 2,math,A,B,C
MCQ,40,JEE Adv 2017 Paper 2,math,D,A,C
MCQ,41,JEE Adv 2017 Paper 2,math,B,D,B
MCQ,42,JEE Adv 2017 Paper 2,math,D,D,D
MCQ,43,JEE Adv 2017 Paper 2,math,B,C,B
MCQ(multiple),46,JEE Adv 2017 Paper 2,math,AC,A,AC
MCQ(multiple),47,JEE Adv 2017 Paper 2,math,AD,BD,BD
MCQ(multiple),48,JEE Adv 2017 Paper 2,math,BC,C,BC
MCQ(multiple),49,JEE Adv 2017 Paper 2,math,BC,C,BC
MCQ(multiple),50,JEE Adv 2017 Paper 2,math,BD,B,AD
MCQ(multiple),1,JEE Adv 2018 Paper 1,phy,BC,AB,ABCD
MCQ(multiple),2,JEE Adv 2018 Paper 1,phy,AC,C,ABCD
MCQ(multiple),3,JEE Adv 2018 Paper 1,phy,AC,A,AC
MCQ(multiple),5,JEE Adv 2018 Paper 1,phy,ABD,ABCD,D
Numeric,7,JEE Adv 2018 Paper 1,phy,2,12,1.37
Numeric,8,JEE Adv 2018 Paper 1,phy,5,1428.19,1430
Numeric,9,JEE Adv 2018 Paper 1,phy,0.75,0.5,10
Numeric,13,JEE Adv 2018 Paper 1,phy,130,1.18,1.07
MCQ(multiple),19,JEE Adv 2018 Paper 1,chem,BC,A,ABC
MCQ(multiple),20,JEE Adv 2018 Paper 1,chem,BC,ACD,ABD
