Type,Index,Description,Subject,Gold,GPT3.5_normal,GPT4_0613_normal
MCQ,22,JEE Adv 2017 Paper 2,chem,C,C,C
MCQ,23,JEE Adv 2017 Paper 2,chem,C,B,C
MCQ(multiple),26,JEE Adv 2017 Paper 2,chem,AB,B,AB
MCQ(multiple),27,JEE Adv 2017 Paper 2,chem,BD,AB,BD
MCQ(multiple),28,JEE Adv 2017 Paper 2,chem,AB,AB,AB
MCQ(multiple),30,JEE Adv 2017 Paper 2,chem,ABD,BD,ABD
MCQ(multiple),31,JEE Adv 2017 Paper 2,chem,AD,A,AD
MCQ,37,JEE Adv 2017 Paper 2,math,C,A,None
MCQ,38,JEE Adv 2017 Paper 2,math,D,B,D
MCQ,39,JEE Adv 2017 Paper 2,math,A,C,A
MCQ,40,JEE Adv 2017 Paper 2,math,D,B,D
MCQ,41,JEE Adv 2017 Paper 2,math,B,None,None
MCQ,42,JEE Adv 2017 Paper 2,math,D,B,C
MCQ,43,JEE Adv 2017 Paper 2,math,B,B,B
MCQ(multiple),46,JEE Adv 2017 Paper 2,math,AC,AC,AC
MCQ(multiple),47,JEE Adv 2017 Paper 2,math,AD,BD,AC
MCQ(multiple),48,JEE Adv 2017 Paper 2,math,BC,ACD,AC
MCQ(multiple),49,JEE Adv 2017 Paper 2,math,BC,D,AC
MCQ(multiple),50,JEE Adv 2017 Paper 2,math,BD,A,BD
MCQ(multiple),1,JEE Adv 2018 Paper 1,phy,BC,BC,BC
MCQ(multiple),2,JEE Adv 2018 Paper 1,phy,AC,AC,AC
MCQ(multiple),3,JEE Adv 2018 Paper 1,phy,AC,ACD,AC
MCQ(multiple),5,JEE Adv 2018 Paper 1,phy,ABD,ABC,ABC
Numeric,7,JEE Adv 2018 Paper 1,phy,2,1.32,0.62
Numeric,8,JEE Adv 2018 Paper 1,phy,5,33,29.06
Numeric,9,JEE Adv 2018 Paper 1,phy,0.75,0.47,0.96
Numeric,13,JEE Adv 2018 Paper 1,phy,130,0.16,0.01
MCQ(multiple),19,JEE Adv 2018 Paper 1,chem,BC,B,BC
MCQ(multiple),20,JEE Adv 2018 Paper 1,chem,BC,ABD,BCD
MCQ(multiple),21,JEE Adv 2018 Paper 1,chem,ABC,ABC,BCD
Numeric,25,JEE Adv 2018 Paper 1,chem,1,4,3
Numeric,26,JEE Adv 2018 Paper 1,chem,2992,2584.44,3336
Numeric,27,JEE Adv 2018 Paper 1,chem,3,6,6
Numeric,28,JEE Adv 2018 Paper 1,chem,10,1.81,10
Numeric,30,JEE Adv 2018 Paper 1,chem,19,1.13,1.22
Numeric,31,JEE Adv 2018 Paper 1,chem,4.47,0.00001,1.41
MCQ(multiple),37,JEE Adv 2018 Paper 1,math,ABD,A,A
MCQ(multiple),38,JEE Adv 2018 Paper 1,math,BCD,BC,D
MCQ(multiple),39,JEE Adv 2018 Paper 1,math,CD,CD,C
MCQ(multiple),40,JEE Adv 2018 Paper 1,math,ABD,ABD,AD
MCQ(multiple),41,JEE Adv 2018 Paper 1,math,BC,AD,BD
Numeric,43,JEE Adv 2018 Paper 1,math,8,18,8.4
Numeric,44,JEE Adv 2018 Paper 1,math,625,375,500
Numeric,45,JEE Adv 2018 Paper 1,math,3748,2840,3749
Numeric,46,JEE Adv 2018 Paper 1,math,2,2,1
Numeric,47,JEE Adv 2018 Paper 1,math,1,0,0
Numeric,48,JEE Adv 2018 Paper 1,math,3,2,3
Numeric,49,JEE Adv 2018 Paper 1,math,0.5,0.87,None
Numeric,50,JEE Adv 2018 Paper 1,math,4,2.44,2.33
MCQ(multiple),1,JEE Adv 2018 Paper 2,phy,ABD,B,D
MCQ(multiple),2,JEE Adv 2018 Paper 2,phy,ACD,ACD,ACD
MCQ(multiple),5,JEE Adv 2018 Paper 2,phy,AC,BC,AC
MCQ(multiple),6,JEE Adv 2018 Paper 2,phy,AC,A,ABCD
Numeric,7,JEE Adv 2018 Paper 2,phy,6.3,27.04,6.3
Numeric,8,JEE Adv 2018 Paper 2,phy,30,60,30
Numeric,9,JEE Adv 2018 Paper 2,phy,2,2000,1
Numeric,10,JEE Adv 2018 Paper 2,phy,5.56,99505.05,0.51
Numeric,11,JEE Adv 2018 Paper 2,phy,3,3,3
Numeric,12,JEE Adv 2018 Paper 2,phy,900,-174.16,1200
Numeric,13,JEE Adv 2018 Paper 2,phy,24,None,7.2
Numeric,14,JEE Adv 2018 Paper 2,phy,3,16,4
MCQ(multiple),19,JEE Adv 2018 Paper 2,chem,ABD,BC,AB
MCQ(multiple),20,JEE Adv 2018 Paper 2,chem,BD,BCD,ABCD
Numeric,25,JEE Adv 2018 Paper 2,chem,6,9,10
Numeric,26,JEE Adv 2018 Paper 2,chem,6.47,6.47,0.65
Numeric,27,JEE Adv 2018 Paper 2,chem,126,22.5,126
Numeric,30,JEE Adv 2018 Paper 2,chem,-14.6,-4.16,-14.6
Numeric,31,JEE Adv 2018 Paper 2,chem,8500,9022.5,8500
Numeric,32,JEE Adv 2018 Paper 2,chem,-11.62,0,5.78
MCQ(multiple),37,JEE Adv 2018 Paper 2,math,D,BD,ABCD
MCQ(multiple),41,JEE Adv 2018 Paper 2,math,ACD,AC,ABCD
Numeric,43,JEE Adv 2018 Paper 2,math,2,1.63,-5.44
Numeric,44,JEE Adv 2018 Paper 2,math,4,2,2
Numeric,45,JEE Adv 2018 Paper 2,math,119,-10,608.21
Numeric,46,JEE Adv 2018 Paper 2,math,0.4,None,0.4
Numeric,47,JEE Adv 2018 Paper 2,math,2,2.67,None
Numeric,48,JEE Adv 2018 Paper 2,math,8,0,None
Numeric,49,JEE Adv 2018 Paper 2,math,0.5,0.25,0
Numeric,50,JEE Adv 2018 Paper 2,math,646,184.92,-2
MCQ,1,JEE Adv 2019 Paper 1,phy,A,C,C
MCQ,2,JEE Adv 2019 Paper 1,phy,C,A,C
MCQ,3,JEE Adv 2019 Paper 1,phy,A,A,A
MCQ,4,JEE Adv 2019 Paper 1,phy,B,D,None
MCQ(multiple),8,JEE Adv 2019 Paper 1,phy,ABC,ACD,AB
MCQ(multiple),11,JEE Adv 2019 Paper 1,phy,ABC,ABC,ABC
MCQ(multiple),12,JEE Adv 2019 Paper 1,phy,BC,BC,AC
Numeric,16,JEE Adv 2019 Paper 1,phy,1,None,0.69
MCQ,19,JEE Adv 2019 Paper 1,chem,C,C,B
MCQ,20,JEE Adv 2019 Paper 1,chem,C,C,C
MCQ(multiple),23,JEE Adv 2019 Paper 1,chem,AB,ABC,ABCD
MCQ(multiple),24,JEE Adv 2019 Paper 1,chem,ABD,ACD,ABD
MCQ(multiple),25,JEE Adv 2019 Paper 1,chem,CD,AC,ACD
MCQ(multiple),26,JEE Adv 2019 Paper 1,chem,ACD,AD,ABCD
MCQ(multiple),27,JEE Adv 2019 Paper 1,chem,BD,ABCD,BD
MCQ(multiple),28,JEE Adv 2019 Paper 1,chem,ABD,A,ABC
MCQ(multiple),29,JEE Adv 2019 Paper 1,chem,ACD,AD,ACD
Numeric,31,JEE Adv 2019 Paper 1,chem,4,1,5
Numeric,32,JEE Adv 2019 Paper 1,chem,19,6,3
Numeric,34,JEE Adv 2019 Paper 1,chem,1.02,0.84,0.16
Numeric,35,JEE Adv 2019 Paper 1,chem,6.75,1.69,6.75
