Type,Index,Description,Subject,Gold,GPT3.5_normal,GPT4_0613_normal
MCQ,22,JEE Adv 2017 Paper 2,chem,C,D,C
MCQ,23,JEE Adv 2017 Paper 2,chem,C,C,C
MCQ(multiple),26,JEE Adv 2017 Paper 2,chem,AB,ACD,AD
MCQ(multiple),27,JEE Adv 2017 Paper 2,chem,BD,A,None
MCQ(multiple),28,JEE Adv 2017 Paper 2,chem,AB,ABCD,ABD
MCQ(multiple),30,JEE Adv 2017 Paper 2,chem,ABD,C,A
MCQ(multiple),31,JEE Adv 2017 Paper 2,chem,AD,A,AD
MCQ,37,JEE Adv 2017 Paper 2,math,C,E,C
MCQ,38,JEE Adv 2017 Paper 2,math,D,B,A
MCQ,39,JEE Adv 2017 Paper 2,math,A,A,A
MCQ,40,JEE Adv 2017 Paper 2,math,D,A,B
MCQ,41,JEE Adv 2017 Paper 2,math,B,C,B
MCQ,42,JEE Adv 2017 Paper 2,math,D,C,D
MCQ,43,JEE Adv 2017 Paper 2,math,B,B,A
MCQ(multiple),46,JEE Adv 2017 Paper 2,math,AC,C,AC
MCQ(multiple),47,JEE Adv 2017 Paper 2,math,AD,AC,BD
MCQ(multiple),48,JEE Adv 2017 Paper 2,math,BC,B,AC
MCQ(multiple),49,JEE Adv 2017 Paper 2,math,BC,C,D
MCQ(multiple),50,JEE Adv 2017 Paper 2,math,BD,A,BC
MCQ(multiple),1,JEE Adv 2018 Paper 1,phy,BC,B,B
MCQ(multiple),2,JEE Adv 2018 Paper 1,phy,AC,AC,C
MCQ(multiple),3,JEE Adv 2018 Paper 1,phy,AC,B,A
MCQ(multiple),5,JEE Adv 2018 Paper 1,phy,ABD,B,BC
Numeric,7,JEE Adv 2018 Paper 1,phy,2,2,1.23
Numeric,8,JEE Adv 2018 Paper 1,phy,5,10,1440.37
Numeric,9,JEE Adv 2018 Paper 1,phy,0.75,0.75,0.5
Numeric,13,JEE Adv 2018 Paper 1,phy,130,5.67,1.07
MCQ(multiple),19,JEE Adv 2018 Paper 1,chem,BC,B,ABC
MCQ(multiple),20,JEE Adv 2018 Paper 1,chem,BC,AC,ABCD
MCQ(multiple),21,JEE Adv 2018 Paper 1,chem,ABC,BD,ACD
Numeric,25,JEE Adv 2018 Paper 1,chem,1,9,4
Numeric,26,JEE Adv 2018 Paper 1,chem,2992,1632,3888
Numeric,27,JEE Adv 2018 Paper 1,chem,3,1,0.86
Numeric,28,JEE Adv 2018 Paper 1,chem,10,10,10
Numeric,30,JEE Adv 2018 Paper 1,chem,19,0.125,0.33
Numeric,31,JEE Adv 2018 Paper 1,chem,4.47,4.53,-16
